disc_era,hostname_canon,n_planets,avg_pl_rade,avg_pl_bmasse
2010s,kepler-378,2,0.725,0.309
2010s,kepler-379,2,1.975,4.625
2010s,kepler-380,2,1.23,1.98
2010s,kepler-381,2,1.055,1.199
2010s,kepler-382,2,1.455,2.725
2010s,kepler-383,2,1.28,2.185
2010s,kepler-384,2,1.125,1.485
2010s,kepler-385,2,2.885,13.0
2010s,kepler-386,2,1.485,2.815
2010s,kepler-387,2,0.96,0.86
2010s,kepler-388,2,0.835,0.511
2010s,kepler-389,2,1.485,2.81
2010s,kepler-390,2,0.805,0.448
2010s,kepler-391,2,2.69,775.0
2010s,kepler-392,2,1.05,1.171
2010s,kepler-393,2,1.31,2.27
2010s,kepler-394,2,1.63,3.29
2010s,kepler-395,2,1.175,1.69
2010s,kepler-396,2,4.4,46.7
2010s,kepler-397,2,4.32,19.11
2010s,kepler-400,2,1.57,3.095
2010s,kepler-404,2,1.495,2.88
2010s,kepler-405,2,3.37,12.29
2010s,kepler-406,2,1.14,4.53
2010s,kepler-407,2,6.745,2000.965
2010s,kepler-414,2,2.36,16.7
2010s,kepler-415,2,1.61,62.3
2010s,kepler-416,2,2.416,32.165
2010s,kepler-417,2,2.5,9.35
2010s,kepler-419,2,11.7,1557.3
2010s,kepler-424,2,11.34,1271.265
2010s,kepler-430,2,2.5,7.155
2010s,kepler-432,2,13.067,1245.894
2010s,kepler-436,2,2.53,6.97
2010s,kepler-449,2,2.41,6.475
2010s,kepler-454,2,7.635,719.403
2010s,kepler-466,2,2.05,5.3
2010s,kepler-487,2,7.05,7.65
2010s,kepler-50,2,1.94,8.55
2010s,kepler-520,2,1.365,2.315
2010s,kepler-524,2,1.435,2.575
2010s,kepler-529,2,1.93,4.39
2010s,kepler-539,2,10.837,535.544
2010s,kepler-549,2,2.75,9.955
2010s,kepler-553,2,8.16,1122.729
2010s,kepler-561,2,4.82,23.175
2010s,kepler-57,2,2.665,15.96
2010s,kepler-59,2,1.54,3.955
2010s,kepler-605,2,1.15,1.618
2010s,kepler-610,2,3.745,13.6
2010s,kepler-616,2,2.92,8.99
2010s,kepler-619,2,2.425,6.8
2010s,kepler-625,2,1.52,2.89
2010s,kepler-653,2,1.365,2.43
2010s,kepler-69,2,1.975,4.61
2010s,kepler-712,2,4.13,16.25
2010s,kepler-722,2,2.725,7.88
2010s,kepler-730,2,6.95,3.09
2010s,kepler-732,2,1.725,3.77
2010s,kepler-750,2,2.345,6.45
2010s,kepler-755,2,1.51,2.94
2010s,kepler-760,2,2.27,6.19
2010s,kepler-769,2,2.355,6.355
2010s,kepler-804,2,1.54,2.985
2010s,kepler-825,2,1.685,3.5
2010s,kepler-87,2,9.815,165.3
2010s,kepler-887,2,1.485,2.775
2010s,kepler-903,2,2.27,5.82
2010s,kepler-920,2,3.11,10.12
