disc_era,hostname_canon,n_planets,avg_pl_rade,avg_pl_bmasse
2010s,kepler-612,1,2.84,8.45
2010s,kepler-613,1,2.29,5.86
2010s,kepler-614,1,2.39,6.3
2010s,kepler-615,1,1.74,3.68
2010s,kepler-617,1,1.32,2.3
2010s,kepler-618,1,2.6,7.27
2010s,kepler-620,1,3.32,11.0
2010s,kepler-621,1,2.3,5.9
2010s,kepler-622,1,2.13,5.18
2010s,kepler-623,1,3.01,9.32
2010s,kepler-624,1,2.31,5.95
2010s,kepler-626,1,2.29,5.86
2010s,kepler-627,1,3.73,13.4
2010s,kepler-629,1,1.38,2.48
2010s,kepler-63,1,6.11,120.0
2010s,kepler-630,1,3.18,10.2
2010s,kepler-631,1,2.9,8.75
2010s,kepler-632,1,2.21,5.52
2010s,kepler-633,1,1.63,3.29
2010s,kepler-634,1,1.89,4.23
2010s,kepler-635,1,2.64,7.46
2010s,kepler-636,1,4.45,18.1
2010s,kepler-637,1,4.75,20.2
2010s,kepler-638,1,1.83,4.01
2010s,kepler-639,1,2.38,6.26
2010s,kepler-640,1,2.56,7.08
2010s,kepler-641,1,1.85,4.08
2010s,kepler-642,1,2.9,8.75
2010s,kepler-643,1,10.16,321.008
2010s,kepler-644,1,3.15,10.1
2010s,kepler-645,1,2.1,5.06
2010s,kepler-646,1,1.99,4.62
2010s,kepler-647,1,1.17,1.71
2010s,kepler-648,1,3.22,10.5
2010s,kepler-649,1,2.26,5.73
2010s,kepler-650,1,2.96,9.06
2010s,kepler-651,1,2.37,6.21
2010s,kepler-652,1,2.49,6.76
2010s,kepler-654,1,2.07,4.94
2010s,kepler-655,1,2.71,7.8
2010s,kepler-656,1,3.12,9.91
2010s,kepler-657,1,3.52,12.2
2010s,kepler-658,1,1.63,3.29
2010s,kepler-659,1,2.5,6.8
2010s,kepler-66,1,2.8,8.25
2010s,kepler-660,1,2.57,7.13
2010s,kepler-661,1,3.07,9.64
2010s,kepler-662,1,2.18,5.39
2010s,kepler-663,1,2.6,7.27
2010s,kepler-664,1,2.66,7.56
2010s,kepler-665,1,2.6,7.27
2010s,kepler-666,1,2.4,6.35
2010s,kepler-667,1,4.73,20.1
2010s,kepler-668,1,2.7,7.75
2010s,kepler-669,1,4.83,20.8
2010s,kepler-67,1,2.94,8.96
2010s,kepler-670,1,13.18,
2010s,kepler-671,1,2.69,7.7
2010s,kepler-672,1,2.5,6.8
2010s,kepler-673,1,6.54,34.8
2010s,kepler-674,1,1.69,3.5
2010s,kepler-675,1,2.44,6.53
2010s,kepler-676,1,3.04,9.48
2010s,kepler-677,1,5.38,25.0
2010s,kepler-678,1,5.14,23.1
2010s,kepler-679,1,3.01,9.32
2010s,kepler-680,1,2.42,6.44
2010s,kepler-681,1,3.08,9.69
2010s,kepler-682,1,7.37,42.6
2010s,kepler-683,1,1.97,4.54
2010s,kepler-684,1,3.36,11.2
2010s,kepler-685,1,10.58,78.8
2010s,kepler-686,1,12.15,
2010s,kepler-687,1,3.52,12.2
2010s,kepler-688,1,9.76,68.7
2010s,kepler-689,1,2.89,8.7
2010s,kepler-690,1,5.95,29.6
2010s,kepler-691,1,2.09,5.02
2010s,kepler-692,1,3.11,9.85
2010s,kepler-693,1,10.18,73.8
2010s,kepler-694,1,2.8,8.25
2010s,kepler-695,1,9.21,62.3
2010s,kepler-696,1,6.14,31.3
2010s,kepler-697,1,4.13,16.0
2010s,kepler-698,1,3.68,13.1
2010s,kepler-700,1,5.99,30.0
2010s,kepler-701,1,2.84,8.45
2010s,kepler-702,1,9.17,61.8
2010s,kepler-703,1,8.2,51.1
2010s,kepler-704,1,2.61,7.32
2010s,kepler-705,1,2.11,5.1
2010s,kepler-707,1,1.33,2.33
2010s,kepler-708,1,2.93,8.91
2010s,kepler-709,1,2.92,8.85
2010s,kepler-710,1,1.88,4.19
2010s,kepler-711,1,3.41,11.5
2010s,kepler-713,1,2.48,6.71
2010s,kepler-714,1,9.67,67.6
2010s,kepler-715,1,3.75,13.5
2010s,kepler-716,1,2.9,8.75
2010s,kepler-717,1,2.42,6.44
2010s,kepler-718,1,16.56,
2010s,kepler-719,1,8.52,54.5
2010s,kepler-720,1,8.41,53.4
2010s,kepler-721,1,2.64,7.46
2010s,kepler-723,1,12.19,
2010s,kepler-724,1,3.29,10.8
2010s,kepler-725,1,10.8,81.6
2010s,kepler-726,1,3.26,10.7
2010s,kepler-727,1,2.53,6.94
2010s,kepler-728,1,3.34,11.1
2010s,kepler-729,1,3.58,12.5
2010s,kepler-731,1,13.88,
2010s,kepler-733,1,2.82,8.35
2010s,kepler-734,1,3.56,12.4
2010s,kepler-735,1,2.95,9.01
2010s,kepler-736,1,2.93,8.91
2010s,kepler-737,1,1.96,4.5
2010s,kepler-738,1,2.5,6.8
2010s,kepler-739,1,3.32,11.0
2010s,kepler-74,1,10.76,200.22
2010s,kepler-740,1,4.57,18.9
2010s,kepler-741,1,2.97,9.11
2010s,kepler-742,1,3.24,10.6
2010s,kepler-743,1,1.21,1.92
2010s,kepler-744,1,1.62,3.26
2010s,kepler-745,1,2.16,5.31
2010s,kepler-746,1,1.11,1.41
2010s,kepler-747,1,5.27,24.1
2010s,kepler-748,1,2.52,6.9
2010s,kepler-749,1,3.1,9.8
2010s,kepler-75,1,11.77,3209.9
2010s,kepler-751,1,2.46,6.62
2010s,kepler-752,1,2.81,8.3
2010s,kepler-753,1,1.91,4.31
2010s,kepler-754,1,2.01,4.7
2010s,kepler-756,1,1.12,1.46
2010s,kepler-757,1,1.36,2.42
2010s,kepler-759,1,2.27,5.77
2010s,kepler-76,1,15.244,638.838
2010s,kepler-761,1,2.03,4.78
2010s,kepler-762,1,12.68,
2010s,kepler-763,1,1.22,1.98
2010s,kepler-764,1,1.64,3.33
2010s,kepler-765,1,2.43,6.48
2010s,kepler-766,1,3.39,11.4
2010s,kepler-767,1,6.64,35.7
2010s,kepler-768,1,1.79,3.86
2010s,kepler-77,1,10.761,136.661
2010s,kepler-771,1,1.82,3.97
2010s,kepler-772,1,1.82,3.97
2010s,kepler-773,1,1.43,2.63
2010s,kepler-774,1,3.17,10.2
2010s,kepler-775,1,1.19,1.81
2010s,kepler-776,1,1.28,2.18
2010s,kepler-777,1,1.47,2.76
2010s,kepler-778,1,1.68,3.46
2010s,kepler-779,1,0.92,0.721
2010s,kepler-78,1,1.201,1.68
2010s,kepler-780,1,0.89,0.64
2010s,kepler-781,1,2.89,8.7
2010s,kepler-782,1,3.21,10.4
2010s,kepler-783,1,0.78,0.399
2010s,kepler-784,1,1.58,3.12
2010s,kepler-785,1,13.02,
2010s,kepler-786,1,2.43,6.48
2010s,kepler-787,1,1.28,2.18
2010s,kepler-788,1,2.55,7.04
2010s,kepler-789,1,2.12,5.14
2010s,kepler-790,1,2.18,5.39
2010s,kepler-791,1,3.05,9.53
2010s,kepler-792,1,1.96,4.5
2010s,kepler-793,1,1.37,2.45
2010s,kepler-794,1,2.11,5.1
2010s,kepler-795,1,1.68,3.46
2010s,kepler-796,1,1.3,2.24
2010s,kepler-797,1,2.17,5.35
2010s,kepler-798,1,2.39,6.3
2010s,kepler-799,1,6.88,37.9
2010s,kepler-8,1,15.872,187.52
2010s,kepler-800,1,2.85,8.5
2010s,kepler-801,1,2.0,4.66
2010s,kepler-802,1,3.54,12.3
2010s,kepler-803,1,3.79,13.8
2010s,kepler-805,1,2.89,8.7
2010s,kepler-806,1,1.14,1.55
2010s,kepler-808,1,1.46,2.73
2010s,kepler-809,1,3.01,9.32
2010s,kepler-810,1,1.93,4.38
2010s,kepler-811,1,2.7,7.75
2010s,kepler-812,1,3.55,12.3
2010s,kepler-813,1,2.14,5.22
2010s,kepler-814,1,2.12,5.14
2010s,kepler-815,1,4.11,15.8
2010s,kepler-816,1,10.24,74.5
2010s,kepler-817,1,9.03,60.2
2010s,kepler-818,1,5.11,22.9
2010s,kepler-819,1,2.76,8.05
2010s,kepler-820,1,6.09,30.8
2010s,kepler-821,1,1.31,2.27
2010s,kepler-822,1,1.77,3.78
2010s,kepler-823,1,1.57,3.09
2010s,kepler-824,1,1.87,4.16
2010s,kepler-826,1,1.25,2.1
2010s,kepler-827,1,5.63,27.0
2010s,kepler-828,1,1.51,2.89
2010s,kepler-829,1,2.11,5.1
2010s,kepler-830,1,1.7,3.53
2010s,kepler-831,1,1.27,2.15
2010s,kepler-832,1,2.06,4.9
2010s,kepler-833,1,2.02,4.74
2010s,kepler-834,1,2.02,4.74
2010s,kepler-835,1,2.79,8.2
2010s,kepler-836,1,2.73,7.9
2010s,kepler-837,1,2.56,7.08
2010s,kepler-838,1,2.73,7.9
2010s,kepler-839,1,2.57,7.13
2010s,kepler-841,1,5.23,23.8
2010s,kepler-842,1,1.6,3.19
2010s,kepler-843,1,2.59,7.22
2010s,kepler-844,1,1.68,3.46
2010s,kepler-845,1,2.04,4.82
2010s,kepler-846,1,2.48,6.71
2010s,kepler-847,1,1.18,1.76
2010s,kepler-848,1,1.7,3.53
2010s,kepler-849,1,8.082,298.759
2010s,kepler-850,1,1.78,3.82
2010s,kepler-851,1,1.68,3.46
2010s,kepler-852,1,2.54,6.99
2010s,kepler-853,1,1.69,3.5
2010s,kepler-855,1,8.35,52.7
2010s,kepler-856,1,9.3,63.3
2010s,kepler-857,1,6.8,37.2
2010s,kepler-858,1,4.87,21.1
2010s,kepler-859,1,3.09,9.75
2010s,kepler-860,1,3.24,10.6
2010s,kepler-861,1,2.28,5.82
2010s,kepler-862,1,2.21,5.52
2010s,kepler-863,1,2.9,8.75
2010s,kepler-864,1,2.4,6.35
2010s,kepler-865,1,2.49,6.76
2010s,kepler-866,1,1.63,3.29
2010s,kepler-867,1,4.64,19.4
2010s,kepler-868,1,2.05,4.86
2010s,kepler-869,1,3.61,12.7
2010s,kepler-870,1,2.78,8.15
2010s,kepler-871,1,3.74,13.5
2010s,kepler-872,1,1.99,4.62
2010s,kepler-873,1,3.75,13.5
2010s,kepler-874,1,3.94,14.7
2010s,kepler-875,1,2.9,8.75
2010s,kepler-876,1,1.43,2.63
2010s,kepler-877,1,2.12,5.14
2010s,kepler-878,1,1.93,4.38
2010s,kepler-879,1,2.57,7.13
2010s,kepler-880,1,2.66,7.56
2010s,kepler-881,1,1.78,3.82
2010s,kepler-882,1,1.23,2.04
2010s,kepler-883,1,1.78,3.82
2010s,kepler-884,1,1.23,2.04
2010s,kepler-885,1,2.5,6.8
2010s,kepler-886,1,1.52,2.92
2010s,kepler-888,1,1.76,3.75
2010s,kepler-889,1,1.09,1.32
2010s,kepler-890,1,8.89,58.6
2010s,kepler-891,1,6.41,33.6
2010s,kepler-892,1,2.81,8.3
2010s,kepler-893,1,3.03,9.43
2010s,kepler-894,1,2.78,8.15
2010s,kepler-895,1,1.54,2.99
2010s,kepler-896,1,2.53,6.94
2010s,kepler-897,1,2.39,6.3
2010s,kepler-898,1,1.49,2.83
2010s,kepler-899,1,2.68,7.65
2010s,kepler-900,1,2.08,4.98
2010s,kepler-901,1,1.37,2.45
2010s,kepler-902,1,2.54,6.99
2010s,kepler-904,1,1.77,3.78
2010s,kepler-905,1,1.41,2.57
2010s,kepler-906,1,2.11,5.1
2010s,kepler-907,1,1.2,1.87
2010s,kepler-908,1,1.22,1.98
2010s,kepler-909,1,1.47,2.76
2010s,kepler-91,1,15.323,257.442
2010s,kepler-910,1,0.82,0.477
2010s,kepler-911,1,2.6,7.27
2010s,kepler-912,1,2.8,8.25
2010s,kepler-913,1,2.06,4.9
2010s,kepler-914,1,1.38,2.48
2010s,kepler-915,1,1.5,2.86
2010s,kepler-916,1,1.76,3.75
2010s,kepler-917,1,1.91,4.31
2010s,kepler-918,1,1.74,3.68
2010s,kepler-919,1,2.25,5.69
2010s,kepler-921,1,2.87,8.6
2010s,kepler-922,1,1.42,2.6
2010s,kepler-923,1,1.38,2.48
2010s,kepler-924,1,3.07,9.64
2010s,kepler-925,1,2.34,6.08
2010s,kepler-926,1,2.31,5.95
2010s,kepler-927,1,1.72,3.61
2010s,kepler-928,1,1.59,3.15
2010s,kepler-929,1,1.11,1.41
2010s,kepler-930,1,2.13,5.18
2010s,kepler-931,1,1.33,2.33
2010s,kepler-932,1,1.37,2.45
2010s,kepler-933,1,2.46,6.62
2010s,kepler-934,1,2.09,5.02
2010s,kepler-935,1,1.35,2.39
2010s,kepler-936,1,1.45,2.7
2010s,kepler-938,1,2.22,5.56
2010s,kepler-939,1,1.75,3.71
2010s,kepler-940,1,3.34,11.1
2010s,kepler-941,1,3.08,9.69
2010s,kepler-942,1,2.13,5.18
2010s,kepler-943,1,5.93,29.5
2010s,kepler-944,1,2.63,7.41
2010s,kepler-945,1,2.63,7.41
2010s,kepler-946,1,1.93,4.38
2010s,kepler-947,1,2.28,5.82
2010s,kepler-948,1,1.85,4.08
2010s,kepler-949,1,2.91,8.8
2010s,kepler-95,1,3.42,13.0
2010s,kepler-950,1,8.98,59.6
2010s,kepler-951,1,5.59,26.7
2010s,kepler-952,1,7.65,45.4
2010s,kepler-954,1,2.32,5.99
2010s,kepler-955,1,3.13,9.96
2010s,kepler-956,1,3.0,9.27
2010s,kepler-957,1,5.5,25.9
2010s,kepler-958,1,2.06,4.9
2010s,kepler-959,1,4.38,17.6
2010s,kepler-96,1,2.67,8.46
2010s,kepler-960,1,2.29,5.86
2010s,kepler-961,1,2.55,7.04
2010s,kepler-962,1,1.97,4.54
2010s,kepler-963,1,2.66,7.56
2010s,kepler-964,1,2.12,5.14
2010s,kepler-965,1,3.38,11.4
2010s,kepler-966,1,4.13,16.0
2010s,kepler-970,1,2.609,7.31
2010s,kepler-971,1,2.13,5.18
2010s,kepler-972,1,4.65,19.5
2010s,kepler-973,1,1.96,4.5
2010s,kepler-975,1,1.48,2.79
2010s,kepler-976,1,3.96,14.9
2010s,kepler-977,1,2.62,7.37
2010s,kepler-978,1,2.99,9.22
2010s,kepler-979,1,2.72,7.85
2010s,kepler-98,1,1.99,3.55
2010s,kepler-980,1,2.67,7.61
2010s,kepler-981,1,2.31,5.95
2010s,kepler-982,1,2.25,5.69
2010s,kepler-983,1,2.36,6.17
2010s,kepler-984,1,2.12,5.14
2010s,kepler-985,1,2.98,9.17
2010s,kepler-986,1,2.36,6.17
2010s,kepler-987,1,3.26,10.7
2010s,kepler-988,1,2.07,4.94
2010s,kepler-989,1,2.21,5.52
2010s,kepler-99,1,1.48,6.15
2010s,kepler-991,1,2.54,6.99
2010s,kepler-992,1,1.62,3.26
2010s,kepler-993,1,2.97,9.11
2010s,kepler-994,1,1.6,3.19
2010s,kepler-995,1,2.7,7.75
2010s,kepler-996,1,1.98,4.58
2010s,kepler-997,1,1.36,2.42
2010s,kepler-998,1,2.32,5.99
2010s,kepler-999,1,2.34,6.08
2010s,kic 10525077,1,5.5,25.9
2010s,kic 3558849,1,6.9,38.1
2010s,kic 7917485,1,12.4,3750.394
2010s,kmt-2016-blg-0212l,1,12.2,5700.0
2010s,kmt-2016-blg-1107l,1,13.1,1043.0
2010s,kmt-2016-blg-1397l,1,12.7,2200.0
2010s,kmt-2016-blg-1820l,1,12.9,1450.0
2010s,kmt-2016-blg-1836l,1,13.3,700.0
2010s,kmt-2016-blg-2142l,1,12.2,4923.0
2010s,kmt-2017-blg-0165l,1,6.45,34.0
2010s,kmt-2017-blg-1038l,1,13.4,640.0
2010s,kmt-2017-blg-1146l,1,14.0,230.0
2010s,kmt-2018-blg-1990l,1,12.9,111.0
2010s,koi-1257,1,10.54,460.83
2010s,koi-13,1,16.948,2949.462
2010s,koi-217,1,12.442,
2010s,koi-3680,1,11.097,613.412
2010s,kps-1,1,11.545,346.435
2010s,lhs 3844,1,1.303,2.25
2010s,lspm j2116+0234,1,3.71,13.3
2010s,ltt 1445 a,1,1.34,2.73
2010s,luhman 16 a,1,11.9,9344.155
2010s,mascara-1,1,17.901,1175.971
2010s,moa-2008-blg-379l,1,13.0,1300.0
2010s,moa-2009-blg-266l,1,3.21,10.4
2010s,moa-2009-blg-319l,1,9.64,67.3
2010s,moa-2009-blg-387l,1,13.2,830.0
2010s,moa-2010-blg-073l,1,12.4,3500.0
2010s,moa-2010-blg-117l,1,14.2,170.0
2010s,moa-2010-blg-328l,1,2.99,9.2
2010s,moa-2010-blg-353l,1,11.1,86.0
2010s,moa-2010-blg-477l,1,13.6,480.0
2010s,moa-2011-blg-028l,1,5.99,30.0
2010s,moa-2011-blg-262l,1,4.29,17.0
2010s,moa-2011-blg-291l,1,4.43,18.0
2010s,moa-2011-blg-293l,1,12.9,1500.0
2010s,moa-2011-blg-322l,1,12.4,3690.0
2010s,moa-2012-blg-006l,1,12.6,2700.0
2010s,moa-2012-blg-505l,1,2.48,6.7
2010s,moa-2013-blg-220l,1,13.2,871.0
2010s,moa-2013-blg-605l,1,1.62,3.24
2010s,moa-2015-blg-337l,1,6.42,33.7
2010s,moa-2016-blg-227l,1,13.2,890.0
2010s,moa-2016-blg-319l,1,14.1,200.0
2010s,moa-bin-1l,1,13.0,1200.0
2010s,moa-bin-29,1,14.1,190.0
2010s,mu leo,1,13.3,762.8
2010s,mxb 1658-298,1,12.0,7532.571
2010s,ngc 2682 sand 978,1,13.3,692.869
2010s,ngc 2682 ybp 1194,1,12.3,101.706
2010s,ngc 2682 ybp 1514,1,14.0,127.132
2010s,ngc 2682 ybp 401,1,14.3,146.202
2010s,ngts-1,1,14.908,258.078
2010s,ngts-2,1,17.878,235.194
2010s,ngts-3 a,1,16.589,756.435
2010s,ngts-4,1,3.18,20.6
2010s,ngts-5,1,12.733,72.783
2010s,ngts-6,1,14.863,425.574
2010s,ngts-8,1,12.218,295.582
2010s,ngts-9,1,11.994,921.707
2010s,nsvs 14256825,1,12.3,4497.295
2010s,nu oct a,1,13.3,696.044
2010s,ogle-2007-blg-349l a,1,10.7,80.0
2010s,ogle-2008-blg-092l,1,8.74,57.0
2010s,ogle-2008-blg-355l,1,12.9,1500.0
2010s,ogle-2011-blg-0173l,1,9.01,60.0
2010s,ogle-2011-blg-0251l,1,14.2,170.0
2010s,ogle-2011-blg-0265l,1,13.9,280.0
2010s,ogle-2012-blg-0358l,1,13.4,588.0
2010s,ogle-2012-blg-0406l,1,13.2,868.0
2010s,ogle-2012-blg-0563l,1,13.6,120.0
2010s,ogle-2012-blg-0724l,1,14.3,150.0
2010s,ogle-2012-blg-0950l,1,6.56,35.0
2010s,ogle-2013-blg-0102l,1,12.3,4100.0
2010s,ogle-2013-blg-0132l,1,11.6,92.0
2010s,ogle-2013-blg-0341l b,1,1.16,1.66
2010s,ogle-2013-blg-0911l,1,12.5,3020.0
2010s,ogle-2013-blg-1721l,1,14.1,200.0
2010s,ogle-2013-blg-1761l,1,13.2,860.0
2010s,ogle-2014-blg-0124l,1,14.1,206.588
2010s,ogle-2014-blg-0676l,1,13.0,1169.609
2010s,ogle-2014-blg-1760l,1,14.2,180.0
2010s,ogle-2015-blg-0051l,1,14.0,230.0
2010s,ogle-2015-blg-0954l,1,13.1,1100.0
2010s,ogle-2015-blg-0966l,1,4.86,21.0
2010s,ogle-2015-blg-1649l,1,13.2,807.0
2010s,ogle-2015-blg-1670l,1,4.42,17.9
2010s,ogle-2016-blg-0263l,1,13.0,1300.0
2010s,ogle-2016-blg-0613l ab,1,13.0,1330.0
2010s,ogle-2016-blg-1067l,1,14.3,140.0
2010s,ogle-2016-blg-1190l,1,12.3,4253.0
2010s,ogle-2016-blg-1195l,1,1.11,1.43
2010s,ogle-2016-blg-1266l,1,12.4,3813.941
2010s,ogle-2017-blg-0173l,1,1.62,3.269
2010s,ogle-2017-blg-0373l,1,14.0,127.0
2010s,ogle-2017-blg-0482l,1,2.95,9.0
2010s,ogle-2017-blg-1140l,1,13.5,505.0
2010s,ogle-2017-blg-1434l,1,1.94,4.43
2010s,ogle-2017-blg-1522l,1,14.0,240.0
2010s,ogle-2018-blg-0596l,1,3.81,13.93
2010s,ogle-2018-blg-0740l,1,12.9,1500.0
2010s,ome ser,1,14.0,233.922
2010s,omi crb,1,13.7,355.968
2010s,omi uma,1,13.0,1160.392
2010s,ph1,1,6.18,169.0
2010s,ph2,1,9.337,87.085
2010s,pots-1,1,10.548,734.16
2010s,pr0201,1,14.2,171.628
2010s,proxima cen,1,1.02,1.055
2010s,psi1 dra b,1,13.5,486.28
2010s,psr b0329+54,1,1.22,1.97
2010s,psr j1719-1438,1,,382.8
2010s,psr j2322-2650,1,13.9,252.643
2010s,qatar-1,1,12.812,411.272
2010s,qatar-10,1,17.295,233.923
2010s,qatar-2,1,14.056,792.635
2010s,qatar-3,1,12.285,1369.847
2010s,qatar-4,1,12.722,1938.763
2010s,qatar-5,1,12.408,1373.026
2010s,qatar-6,1,11.904,212.31
2010s,qatar-7,1,19.055,597.52
2010s,qatar-8,1,14.404,117.915
2010s,qatar-9,1,11.31,378.218
2010s,rho crb,1,5.78,28.2
2010s,ross 128,1,1.11,1.4
2010s,ross 458,1,14.011,1906.98
2010s,roxs 12,1,12.2,5085.0
2010s,roxs 42 b,1,12.5,2860.0
2010s,rr cae,1,13.0,1334.886
2010s,sr 12 ab,1,12.3,4131.62
2010s,tap 26,1,13.5,527.598
2010s,tau gem,1,12.1,6547.0
2010s,tcp j05074264+2447555,1,4.72,20.0
2010s,toi-150,1,14.067,797.753
2010s,toi-163,1,16.69,387.753
2010s,toi-172,1,10.817,1722.639
2010s,tres-5,1,13.384,568.916
2010s,tyc 3318-01333-1,1,13.1,1086.979
2010s,tyc 3667-1280-1,1,12.8,1716.282
2010s,tyc 4282-00605-1,1,12.4,3426.207
2010s,ukirt-2017-blg-001l,1,13.7,407.0
2010s,usco1556 a,1,12.3,4767.45
2010s,usco1621 a,1,12.2,5085.28
2010s,v830 tau,1,14.0,222.481
2010s,vhs j125601.92-125723.9,1,13.675,5085.255
2010s,wasp-100,1,14.908,400.466
2010s,wasp-101,1,16.029,162.093
2010s,wasp-103,1,17.127,473.547
2010s,wasp-104,1,12.745,404.263
2010s,wasp-105,1,10.761,572.094
2010s,wasp-106,1,12.106,613.409
2010s,wasp-107,1,10.536,30.5
2010s,wasp-113,1,15.793,150.969
2010s,wasp-114,1,15.009,562.241
2010s,wasp-117,1,11.882,95.349
2010s,wasp-118,1,16.141,163.365
2010s,wasp-119,1,15.693,390.931
2010s,wasp-120,1,15.58,1541.476
2010s,wasp-121,1,19.526,371.859
2010s,wasp-123,1,15.132,285.729
2010s,wasp-124,1,13.899,190.698
2010s,wasp-127,1,14.695,52.347
2010s,wasp-129,1,10.424,317.83
2010s,wasp-130,1,9.976,390.931
2010s,wasp-131,1,13.742,86.767
2010s,wasp-132,1,10.099,136.031
2010s,wasp-133,1,13.563,368.683
2010s,wasp-135,1,14.572,603.877
2010s,wasp-136,1,16.813,479.921
2010s,wasp-138,1,12.218,387.753
2010s,wasp-139,1,8.967,37.186
2010s,wasp-140,1,14.235,775.505
2010s,wasp-141,1,13.563,854.963
2010s,wasp-142,1,17.15,266.977
2010s,wasp-144,1,9.528,139.845
2010s,wasp-145 a,1,10.088,282.869
2010s,wasp-147,1,12.498,87.403
2010s,wasp-151,1,13.305,100.434
2010s,wasp-153,1,17.374,123.954
2010s,wasp-156,1,6.028,41.8
2010s,wasp-157,1,11.19,182.434
2010s,wasp-158,1,11.994,886.746
2010s,wasp-159,1,15.468,174.807
2010s,wasp-160 b,1,12.218,88.357
2010s,wasp-161,1,12.812,791.397
2010s,wasp-162,1,11.209,1652.716
2010s,wasp-163,1,13.473,594.342
2010s,wasp-164,1,12.644,676.978
2010s,wasp-165,1,14.123,209.132
2010s,wasp-166,1,7.062,32.101
2010s,wasp-167,1,17.71,2542.64
2010s,wasp-168,1,16.814,133.489
2010s,wasp-169,1,14.617,178.303
2010s,wasp-170,1,12.285,508.528
2010s,wasp-171,1,10.985,344.528
2010s,wasp-172,1,17.598,149.38
2010s,wasp-173 a,1,13.451,1172.793
2010s,wasp-174,1,16.107,104.883
2010s,wasp-175,1,13.54,314.652
2010s,wasp-177,1,17.71,161.458
2010s,wasp-178,1,20.288,527.598
2010s,wasp-18,1,8.58,55.2
2010s,wasp-180 a,1,13.899,286.047
2010s,wasp-181,1,13.271,95.031
2010s,wasp-182,1,9.528,47.039
2010s,wasp-183,1,16.477,159.551
2010s,wasp-184,1,14.908,181.163
2010s,wasp-185,1,14.011,311.473
2010s,wasp-190,1,12.89,317.83
2010s,wasp-192,1,13.787,731.009
2010s,wasp-20,1,15.468,98.841
2010s,wasp-21,1,11.99,95.345
2010s,wasp-22,1,13.787,212.946
2010s,wasp-23,1,10.783,280.95
2010s,wasp-24,1,15.468,394.109
2010s,wasp-25,1,13.809,179.255
2010s,wasp-26,1,13.563,270.156
2010s,wasp-28,1,13.664,282.549
2010s,wasp-29,1,8.631,73.101
2010s,wasp-31,1,17.363,151.916
2010s,wasp-32,1,10.761,835.893
2010s,wasp-33,1,17.856,665.218
2010s,wasp-34,1,11.209,177.985
2010s,wasp-35,1,14.572,225.659
2010s,wasp-36,1,14.874,750.397
2010s,wasp-37,1,13.002,572.07
2010s,wasp-38,1,13.787,1093.335
2010s,wasp-39,1,14.336,89.31
2010s,wasp-42,1,12.576,167.496
2010s,wasp-43,1,10.424,565.714
2010s,wasp-44,1,12.33,276.512
2010s,wasp-45,1,10.604,306.388
2010s,wasp-46,1,13.159,607.055
2010s,wasp-48,1,16.814,254.264
2010s,wasp-49,1,12.442,117.597
2010s,wasp-50,1,13.07,466.829
2010s,wasp-52,1,14.24,146.2
2010s,wasp-54,1,17.71,187.52
2010s,wasp-55,1,14.729,186.247
2010s,wasp-56,1,10.536,143.024
2010s,wasp-57,1,11.769,204.683
2010s,wasp-58,1,16.029,308.295
2010s,wasp-59,1,8.687,274.276
2010s,wasp-60,1,9.864,174.807
2010s,wasp-61,1,15.805,851.784
2010s,wasp-62,1,14.796,165.272
2010s,wasp-63,1,15.805,117.597
2010s,wasp-64,1,14.247,403.945
2010s,wasp-65,1,12.464,492.62
2010s,wasp-66,1,15.693,746.901
2010s,wasp-67,1,12.89,136.667
2010s,wasp-68,1,14.796,343.256
2010s,wasp-69,1,11.21,82.58
2010s,wasp-70 a,1,13.047,187.512
2010s,wasp-71,1,13.227,441.784
2010s,wasp-72,1,14.46,731.009
2010s,wasp-73,1,15.917,908.994
2010s,wasp-74,1,15.244,228.838
2010s,wasp-75,1,14.235,340.06
2010s,wasp-76,1,20.781,284.139
2010s,wasp-77 a,1,13.56,529.311
2010s,wasp-78,1,21.633,352.791
2010s,wasp-79,1,17.15,270.154
2010s,wasp-80,1,11.198,170.993
2010s,wasp-81,1,16.018,231.698
2010s,wasp-82,1,18.159,371.861
2010s,wasp-83,1,11.657,95.349
2010s,wasp-84,1,10.72,220.0
2010s,wasp-85 a,1,13.899,402.055
2010s,wasp-87,1,15.524,692.869
2010s,wasp-88,1,16.365,133.489
2010s,wasp-89,1,11.657,1875.197
2010s,wasp-90,1,18.271,200.233
2010s,wasp-91,1,11.545,425.892
2010s,wasp-92,1,16.376,255.853
2010s,wasp-93,1,17.901,467.21
2010s,wasp-94 a,1,17.71,158.915
2010s,wasp-94 b,1,14.1,196.411
2010s,wasp-95,1,13.787,457.675
2010s,wasp-96,1,13.45,152.55
2010s,wasp-97,1,12.778,432.249
2010s,wasp-98,1,12.823,293.039
2010s,wasp-99,1,11.433,772.327
2010s,wd 0806-661,1,12.6,2542.627
2010s,wisep j121756.91+162640.2 a,1,10.468,6992.0
2010s,wolf 503,1,2.043,6.26
2010s,wts-1,1,16.7,1274.44
2010s,wts-2,1,15.278,355.97
2010s,xo-4,1,14.011,451.319
2010s,xo-6,1,23.203,1398.452
2010s,xo-7,1,15.39,225.341
2020s,hd 110067,6,2.431,6.308
2020s,hd 191939,6,6.59,176.974
2020s,toi-1136,6,3.052,6.59
2020s,toi-178,6,2.218,4.052
