pl_name,hostname,discoverymethod,disc_year,sy_snum,sy_pnum,sy_dist,ra,dec,pl_orbper,pl_rade,pl_bmasse,pl_eqt,st_teff,st_rad,st_mass
"HD 69830 d","HD 69830","Radial Velocity",2006,1,3,12.55910000,124.6010091,-12.6364246,197.00000000000,4.45000000,18.10000000,,5385.00,0.886947,0.860000
"GJ 3021 b","GJ 3021","Radial Velocity",2000,2,1,17.55590000,4.0634323,-79.8514218,133.71000000000,13.10000000,1071.04000000,350.00,5540.00,0.900000,0.900000
"HD 221416 b","HD 221416","Transit",2019,1,1,95.54830000,353.0331863,-21.8012007,14.27670000000,9.17000000,60.50000000,789.15,5080.00,2.943000,1.212000
"CoRoT-8 b","CoRoT-8","Transit",2010,1,1,322.03700000,291.5885696,1.4262972,6.21229000000,6.39000000,69.92000000,870.00,5080.00,0.770000,0.880000
"Kepler-18 c","Kepler-18","Transit",2011,1,3,433.04700000,298.0794448,44.7462480,7.64159000000,5.49000000,17.30000000,899.00,5345.00,1.108000,0.972000
"Kepler-18 b","Kepler-18","Transit",2011,1,3,433.04700000,298.0794448,44.7462480,3.50472500000,2.00000000,6.90000000,1165.00,5345.00,1.108000,0.972000
"HD 46375 b","HD 46375","Radial Velocity",2000,2,1,29.55290000,98.3030763,5.4625071,3.02357300000,10.00000000,71.80000000,,5285.00,0.914196,0.920000
"HD 147513 b","HD 147513","Radial Velocity",2003,2,1,12.90320000,246.0057894,-39.1929661,528.40000000000,13.70000000,385.00000000,,5883.00,0.980000,1.110000
"HD 221287 b","HD 221287","Radial Velocity",2007,1,1,55.92310000,352.8362230,-58.2097540,456.10000000000,13.10000000,982.05000000,,6304.00,1.138640,1.250000
"HD 33564 b","HD 33564","Radial Velocity",2005,1,1,20.95310000,80.6378979,79.2318488,388.00000000000,12.50000000,2892.10000000,,6250.00,1.436700,1.250000
